"","ID","DateTime","Date","Time","names","NPQ","Pulse"
"73"," 11-6-2021 23:35:42 ",2021-06-11 23:35:42," 11-6-2021","23:35:42 ","NPQ_3",0.401206216655068,420
"74"," 11-6-2021 23:35:42 ",2021-06-11 23:35:42," 11-6-2021","23:35:42 ","NPQ_4",0.295709995709996,600
"75"," 11-6-2021 23:35:42 ",2021-06-11 23:35:42," 11-6-2021","23:35:42 ","NPQ_5",0.212777063925474,1200
"76"," 11-6-2021 23:35:42 ",2021-06-11 23:35:42," 11-6-2021","23:35:42 ","NPQ_6",0.178929700612826,1800
"77"," 11-6-2021 23:35:42 ",2021-06-11 23:35:42," 11-6-2021","23:35:42 ","NPQ_7",0.167130381018626,2400
"78"," 11-6-2021 23:49:56 ",2021-06-11 23:49:56," 11-6-2021","23:49:56 ","NPQ_1",0.755301440254759,120
"79"," 11-6-2021 23:49:56 ",2021-06-11 23:49:56," 11-6-2021","23:49:56 ","NPQ_2",0.429084909551588,300
"80"," 11-6-2021 23:49:56 ",2021-06-11 23:49:56," 11-6-2021","23:49:56 ","NPQ_3",0.275198485724801,420
"81"," 11-6-2021 23:49:56 ",2021-06-11 23:49:56," 11-6-2021","23:49:56 ","NPQ_4",0.161987351475661,600
"82"," 11-6-2021 23:49:56 ",2021-06-11 23:49:56," 11-6-2021","23:49:56 ","NPQ_5",0.123500254782971,1200
"83"," 11-6-2021 23:49:56 ",2021-06-11 23:49:56," 11-6-2021","23:49:56 ","NPQ_6",0.111757964703186,1800
"84"," 11-6-2021 23:49:56 ",2021-06-11 23:49:56," 11-6-2021","23:49:56 ","NPQ_7",0.103512603512604,2400
"85"," 12-6-2021 0:03:14 ",2021-06-12 00:03:14," 12-6-2021","0:03:14 ","NPQ_1",0.746241248708826,120
"86"," 12-6-2021 0:03:14 ",2021-06-12 00:03:14," 12-6-2021","0:03:14 ","NPQ_2",0.40541289488269,300
"87"," 12-6-2021 0:03:14 ",2021-06-12 00:03:14," 12-6-2021","0:03:14 ","NPQ_3",0.301818181818182,420
"88"," 12-6-2021 0:03:14 ",2021-06-12 00:03:14," 12-6-2021","0:03:14 ","NPQ_4",0.195395977372722,600
"89"," 12-6-2021 0:03:14 ",2021-06-12 00:03:14," 12-6-2021","0:03:14 ","NPQ_5",0.130428322003046,1200
"90"," 12-6-2021 0:03:14 ",2021-06-12 00:03:14," 12-6-2021","0:03:14 ","NPQ_6",0.110300288247528,1800
"91"," 12-6-2021 0:03:14 ",2021-06-12 00:03:14," 12-6-2021","0:03:14 ","NPQ_7",0.101179706159079,2400
"92"," 12-6-2021 0:16:24 ",2021-06-12 00:16:24," 12-6-2021","0:16:24 ","NPQ_1",0.97462792345854,120
"93"," 12-6-2021 0:16:24 ",2021-06-12 00:16:24," 12-6-2021","0:16:24 ","NPQ_2",0.632411530349192,300
